id,generation,lobe,radius,x1,y1,z1,x2,y2,z2
2768,11,1,0.3486386355662284,73.7058,103.543,186.689,79.6024,104.088,184.745
2769,11,1,0.3382288177348402,73.7058,103.543,186.689,69.8767,105.421,187.978
2771,11,1,0.33822935166753065,65.2402,101.709,191.618,58.2224,101.373,194.131
2772,11,1,0.3281310809263403,65.2402,101.709,191.618,63.1397,103.033,194.715
703,11,5,0.5165843421546714,220.177,164.782,74.9,214.414,151.027,70.2365
734,11,5,0.5011606706411879,220.177,164.782,74.9,221.5,162.166,70.0594
2777,11,1,0.33761800085080845,62.3462,81.9787,170.233,67.9394,83.1392,170.361
2778,11,1,0.3275378045521175,62.3462,81.9787,170.233,56.6621,83.6341,169.798
2782,11,1,0.32753792256921027,62.2058,76.429,167.375,64.4657,73.9291,166.054
2783,11,1,0.31775818528545297,62.2058,76.429,167.375,57.574,75.7163,164.436
2786,11,1,0.3275375372860133,65.4901,69.5106,177.585,62.3906,71.0304,178.138
2787,11,1,0.3177575578266542,65.4901,69.5106,177.585,65.2603,65.728,178.522
2012,11,3,0.5678639975655745,119.23,109.255,94.1005,122.224,110.848,97.0118
2013,11,3,0.5509092392683625,119.23,109.255,94.1005,118.496,108.505,96.0007
2015,11,3,0.5509089031583784,117.169,102.972,86.3713,114.094,96.6114,82.5096
2016,11,3,0.5344598881237951,117.169,102.972,86.3713,119.522,101.221,86.5842
2019,11,3,0.550909074643797,121.007,113.211,77.2167,124.588,114.333,76.6961
2020,11,3,0.5344601264228608,121.007,113.211,77.2167,121.992,112.127,74.473
2022,11,3,0.5344604668422136,113.774,111.395,77.6743,112.485,105.403,75.6467
2023,11,3,0.5185025733866725,113.774,111.395,77.6743,111.929,113.44,75.1406
2748,11,1,0.37042843896252525,71.0648,103.451,175.561,75.6613,100.536,174.024
2749,11,1,0.359368597176971,71.0648,103.451,175.561,71.3968,105.909,175.851
2751,11,1,0.3593687053889144,60.5001,104.769,176.035,57.4388,102.737,174.186
2752,11,1,0.3486388581831518,60.5001,104.769,176.035,56.1771,108.271,176.695
2755,11,1,0.359368857988239,56.8483,102.481,183.478,56.0038,100.27,183.771
2756,11,1,0.3486385343562498,56.8483,102.481,183.478,54.3566,104.763,185.62
2726,11,1,0.45031563104341343,96.4385,98.7658,154.494,97.1097,100.009,157.141
2727,11,1,0.43687070463431404,96.4385,98.7658,154.494,97.3585,100.597,153.262
2703,11,1,0.44948375906782256,54.3179,97.7234,151.366,52.2975,95.326,146.138
2706,11,1,0.43606292296444943,54.3179,97.7234,151.366,49.6062,98.4981,153.033
2709,11,1,0.44948375412546426,54.9785,107.334,146.266,54.0816,106.048,140.664
2712,11,1,0.43606342602504095,54.9785,107.334,146.266,52.1753,110.285,146.887
2716,11,1,0.43606342611884735,53.4834,107.161,152.407,50.1603,110.89,157.955
2719,11,1,0.42304329984168204,53.4834,107.161,152.407,49.1659,106.059,148.251
2696,11,1,0.4633170875296248,58.1941,96.7766,156.217,62.2923,96.5054,157.367
2699,11,1,0.4494841498613402,58.1941,96.7766,156.217,54.0876,95.3389,157.161
2028,11,3,0.4764431912680415,108.433,109.945,95.9498,110.264,114.03,99.4329
2029,11,3,0.46221718232481174,108.433,109.945,95.9498,108.634,105.443,94.5594
2033,11,3,0.46221737041124195,100.162,118.006,88.4956,100.023,120.847,88.7035
2034,11,3,0.44841598503583074,100.162,118.006,88.4956,98.3651,119.017,88.0716
2729,11,1,0.4368701471682783,98.6274,94.2603,152.775,101.263,92.8925,150.307
2730,11,1,0.4238261545509074,98.6274,94.2603,152.775,101.398,94.3234,154.056
2733,11,1,0.4368709413212157,79.9914,86.7849,149.093,80.3087,86.1468,150.933
2734,11,1,0.423825881033573,79.9914,86.7849,149.093,75.5579,85.0055,146.341
2060,11,3,0.5822824999230239,65.1887,99.6475,86.1563,62.6155,99.4405,90.6009
2067,11,3,0.5648970248077692,65.1887,99.6475,86.1563,58.8823,93.3924,80.6688
2045,11,3,0.6002033828336935,76.6258,98.6408,84.6439,79.903,98.1598,81.5636
2052,11,3,0.5822830520634477,76.6258,98.6408,84.6439,77.6777,94.1397,84.625
2680,11,1,0.46331757113554634,71.3423,118.023,153.569,70.8199,118.567,157.097
2681,11,1,0.4494838521464253,71.3423,118.023,153.569,69.246,121.878,151.789
2684,11,1,0.46331637495567773,58.09,116.383,146.755,59.5576,114.027,146.076
2687,11,1,0.44948389110896886,58.09,116.383,146.755,53.0674,118.781,144.423
2691,11,1,0.44948409684848156,58.0199,120.65,149.986,55.7257,124.353,152.239
2692,11,1,0.43606322256180996,58.0199,120.65,149.986,53.6935,123.731,147.544
772,11,4,0.566350850819225,255.738,138.432,189.37,254.226,140.113,189.874
773,11,4,0.5494410639395446,255.738,138.432,189.37,257.467,137.914,191.683
2675,11,1,0.47757622298347047,78.618,113.003,152.252,78.65,111.922,149.48
2676,11,1,0.46331707488030205,78.618,113.003,152.252,82.4688,112.886,153.688
775,11,4,0.5494416107693503,259.185,135.949,186.7,264.073,137.385,186.486
776,11,4,0.5330356686014869,259.185,135.949,186.7,259.706,133.504,187.353
1336,11,4,0.5174737300016443,215.927,154.807,247.204,222.763,160.664,244.141
1351,11,4,0.5020231773547541,215.927,154.807,247.204,213.988,159.689,250.464
779,11,4,0.549441767668703,258.042,137.44,174.547,256.27,137.94,172.845
780,11,4,0.5330365982682396,258.042,137.44,174.547,261.297,136.4,172.499
782,11,4,0.5330361396952563,261.072,140.13,177.833,266.248,138.858,176.972
783,11,4,0.5171216263804276,261.072,140.13,177.833,262.979,143.216,177.408
787,11,4,0.5494411497501505,235.76,145.368,180.742,233.435,148.631,183.423
788,11,4,0.5330361874895715,235.76,145.368,180.742,233.681,143.254,179.538
790,11,4,0.533036161707699,243.548,148.137,177.433,243.865,152.772,179.205
791,11,4,0.5171216219849769,243.548,148.137,177.433,246.366,148.106,173.526
794,11,4,0.5330359913122394,250.356,151.602,187.16,253.177,152.052,187.859
795,11,4,0.5171212306471933,250.356,151.602,187.16,250.202,153.944,189.637
797,11,4,0.5171215502295063,250.6,152.947,182.347,255.636,154.267,177.41
798,11,4,0.5016816326092617,250.6,152.947,182.347,250.348,157.293,184.814
805,11,4,0.4269526530937312,256.277,84.9572,176.163,255.028,86.5511,178.826
808,11,4,0.4142040476636692,256.277,84.9572,176.163,258.138,87.3316,172.696
865,11,4,0.40183713113403075,249.837,62.3836,164.516,246.255,58.6237,170.284
872,11,4,0.38983972108156556,249.837,62.3836,164.516,255.823,64.9206,160.718
836,11,4,0.41420466634804826,236.699,56.4525,152.347,235.947,62.5401,155.298
843,11,4,0.40183749355979,236.699,56.4525,152.347,233.519,48.4016,147.854
2076,11,3,0.5822829732318523,80.748,122.754,86.8989,82.2601,124.665,89.2466
2077,11,3,0.5648970178017274,80.748,122.754,86.8989,81.115,124.155,83.8944
2079,11,3,0.5648973254755689,78.9682,117.676,83.402,75.5736,116.212,80.1743
2080,11,3,0.5480304810370178,78.9682,117.676,83.402,81.8361,117.138,80.5489
2084,11,3,0.6230440955649768,56.1888,137.299,88.5268,57.4339,138.606,91.6685
2087,11,3,0.6044412570635089,56.1888,137.299,88.5268,49.9076,138.97,86.5779
812,11,4,0.41420422275617597,259.536,80.0068,178.364,261.918,77.3664,176.592
815,11,4,0.40183762904755144,259.536,80.0068,178.364,263.001,81.6096,179.937
820,11,4,0.4142044837650028,242.395,68.5323,191.411,241.352,70.637,194.719
823,11,4,0.4018373595314599,242.395,68.5323,191.411,239.849,64.1036,193.001
827,11,4,0.40183785423270724,248.426,68.8118,189.198,251.333,69.2643,192.935
830,11,4,0.38983908736398903,248.426,68.8118,189.198,248.22,64.687,189.838
925,11,4,0.8290919195882025,211.882,71.5016,162.28,211.804,79.1085,165.209
936,11,4,0.804337892670117,211.882,71.5016,162.28,211.991,70.9924,158.649
894,11,4,0.8546076878167003,208.723,70.9994,188.102,212.557,77.7943,185.403
897,11,4,0.8290929062428345,208.723,70.9994,188.102,203.945,68.7136,190.093
901,11,4,0.8290926295401845,206.132,60.569,192.469,200.068,51.8959,194.792
904,11,4,0.8043373578591071,206.132,60.569,192.469,205.64,59.9362,195.272
880,11,4,0.38983983258971217,245.254,56.2095,160.167,243.15,50.5749,157.057
885,11,4,0.37819967275159044,245.254,56.2095,160.167,246.377,52.69,158.643
2118,11,3,0.5863943767308534,48.8209,121.72,77.6231,44.7676,124.784,73.7184
2129,11,3,0.568885915166587,48.8209,121.72,77.6231,43.5661,116.846,71.833
2091,11,3,0.6044415076839403,63.6362,135.139,83.6313,69.2036,136.367,83.3652
2094,11,3,0.5863942023583245,63.6362,135.139,83.6313,60.8715,135.535,79.2531
2099,11,3,0.6044410666430429,48.8101,115.498,85.0202,48.0711,110.819,86.3841
2110,11,3,0.5863939592510621,48.8101,115.498,85.0202,43.5632,113.431,84.0136
851,11,4,0.40183751425381253,244.781,59.6106,149.518,249.632,63.4729,148.032
858,11,4,0.38983938149068387,244.781,59.6106,149.518,244.576,54.1927,143.432
2504,11,2,0.4727993087096989,103.189,98.1627,112.808,108.276,100.815,116.555
2505,11,2,0.45868302920491627,103.189,98.1627,112.808,108.108,98.7682,110.913
944,11,4,0.8043382946206138,209.673,53.1679,157.458,211.962,45.7,151.808
957,11,4,0.7803207202089347,209.673,53.1679,157.458,204.565,46.5214,155.473
2546,11,2,0.47279992859239217,88.6888,80.4634,94.1635,86.4292,79.4679,95.605
2547,11,2,0.4586830423574787,88.6888,80.4634,94.1635,92.1217,83.3882,95.9491
